price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,when_sold,district,is_basement,is_renovated
221900,3,1,1,0,0,3,7,1180,0,1955,0,1340,1634,1,0,0
538000,3,2.25,2,0,0,3,7,2170,400,1951,1991,1690,1577,1,1,1
180000,2,1,1,0,0,3,6,770,0,1933,0,2720,1499,2,0,0
604000,4,3,1,0,0,5,7,1050,910,1965,0,1360,1577,1,1,0
510000,3,2,1,0,0,3,8,1680,0,1987,0,1800,1506,2,0,0
1225000,4,4.5,1,0,0,3,11,3890,1530,2001,0,4760,1788,2,1,0
257500,3,2.25,2,0,0,3,7,1715,0,1995,0,2238,1742,3,0,0
291850,3,1.5,1,0,0,3,7,1060,0,1963,0,1650,1540,1,0,0
229500,3,1,1,0,0,3,7,1050,730,1960,0,1780,1450,1,1,0
323000,3,2.5,2,0,0,3,7,1890,0,2003,0,2390,1484,4,0,0
662500,3,2.5,1,0,0,3,8,1860,1700,1965,0,2210,1462,2,1,0
468000,2,1,1,0,0,4,7,860,300,1942,0,1330,1773,1,1,0
310000,3,1,1.5,0,0,4,7,1430,0,1927,0,1780,1772,2,0,0
4e+05,3,1.75,1,0,0,4,7,1370,0,1977,0,1370,1640,2,0,0
530000,5,2,1.5,0,0,3,7,1810,0,1900,0,1360,1484,1,0,0
650000,4,3,2,0,3,3,9,1980,970,1979,0,2140,1531,1,1,0
395000,3,2,2,0,0,3,7,1890,0,1994,0,1890,1708,5,0,0
485000,4,1,1.5,0,0,4,7,1600,0,1916,0,1610,1771,1,0,0
189000,2,1,1,0,0,4,7,1200,0,1921,0,1060,1581,3,0,0
230000,3,1,1,0,0,4,7,1250,0,1969,0,1280,1441,3,0,0
385000,4,1.75,1,0,0,4,7,860,760,1947,0,1400,1786,1,1,0
2e+06,3,2.75,1,0,4,3,9,2330,720,1968,0,4110,1682,1,1,0
285000,5,2.5,2,0,0,3,8,2270,0,1995,0,2240,1736,4,0,0
252700,2,1.5,1,0,0,3,7,1070,0,1985,0,1220,1784,4,0,0
329000,3,2.25,2,0,0,4,8,2450,0,1985,0,2200,1596,4,0,0
233000,3,2,1.5,0,0,5,6,1710,0,1941,0,1030,1613,3,0,0
937000,3,1.75,2,0,0,3,8,1750,700,1915,0,1760,1743,1,1,0
667000,3,1,1.5,0,0,5,8,1400,0,1909,0,1860,1585,1,0,0
438000,3,1.75,1,0,0,3,7,790,730,1948,0,1520,1745,1,1,0
719000,4,2.5,2,0,0,3,8,2570,0,2005,0,2630,1494,2,0,0
580500,3,2.5,2,0,0,3,8,2320,0,2003,0,2580,1606,2,0,0
280000,2,1.5,3,0,0,3,7,1190,0,2005,0,1390,1585,1,0,0
687500,4,1.75,1.5,0,0,4,7,1510,820,1929,0,1460,1745,1,1,0
535000,3,1,1.5,0,0,4,8,1090,0,1929,0,1570,1606,1,0,0
322500,4,2.75,1,0,0,3,7,1280,780,1981,0,2020,1583,4,1,0
696000,3,2.5,1.5,0,0,3,8,1510,790,1930,2002,1590,1756,1,1,1
550000,4,1,1,0,0,1,5,930,730,1933,0,2160,1772,2,1,0
640000,4,2,2,0,0,4,8,2360,0,1904,0,1730,1556,1,0,0
240000,4,1,1,0,0,2,7,890,330,1969,0,1290,1511,3,1,0
605000,4,2.5,2,0,0,3,8,2620,0,1996,0,2620,1749,2,0,0
625000,4,2.5,2,0,0,3,9,2570,0,2000,0,2470,1724,2,0,0
