price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,when_sold,district
221900,3,1,5650,1,0,0,3,7,1180,0,1955,0,1340,5650,1634,1
538000,3,2.25,7242,2,0,0,3,7,2170,400,1951,1991,1690,7639,1577,1
180000,2,1,10000,1,0,0,3,6,770,0,1933,0,2720,8062,1499,2
604000,4,3,5000,1,0,0,5,7,1050,910,1965,0,1360,5000,1577,1
510000,3,2,8080,1,0,0,3,8,1680,0,1987,0,1800,7503,1506,2
1225000,4,4.5,101930,1,0,0,3,11,3890,1530,2001,0,4760,101930,1788,2
257500,3,2.25,6819,2,0,0,3,7,1715,0,1995,0,2238,6819,1742,3
291850,3,1.5,9711,1,0,0,3,7,1060,0,1963,0,1650,9711,1540,1
229500,3,1,7470,1,0,0,3,7,1050,730,1960,0,1780,8113,1450,1
323000,3,2.5,6560,2,0,0,3,7,1890,0,2003,0,2390,7570,1484,4
662500,3,2.5,9796,1,0,0,3,8,1860,1700,1965,0,2210,8925,1462,2
468000,2,1,6000,1,0,0,4,7,860,300,1942,0,1330,6000,1773,1
310000,3,1,19901,1.5,0,0,4,7,1430,0,1927,0,1780,12697,1772,2
4e+05,3,1.75,9680,1,0,0,4,7,1370,0,1977,0,1370,10208,1640,2
530000,5,2,4850,1.5,0,0,3,7,1810,0,1900,0,1360,4850,1484,1
650000,4,3,5000,2,0,3,3,9,1980,970,1979,0,2140,4000,1531,1
395000,3,2,14040,2,0,0,3,7,1890,0,1994,0,1890,14018,1708,5
485000,4,1,4300,1.5,0,0,4,7,1600,0,1916,0,1610,4300,1771,1
189000,2,1,9850,1,0,0,4,7,1200,0,1921,0,1060,5095,1581,3
230000,3,1,9774,1,0,0,4,7,1250,0,1969,0,1280,8850,1441,3
385000,4,1.75,4980,1,0,0,4,7,860,760,1947,0,1400,4980,1786,1
2e+06,3,2.75,44867,1,0,4,3,9,2330,720,1968,0,4110,20336,1682,1
285000,5,2.5,6300,2,0,0,3,8,2270,0,1995,0,2240,7005,1736,4
252700,2,1.5,9643,1,0,0,3,7,1070,0,1985,0,1220,8386,1784,4
329000,3,2.25,6500,2,0,0,4,8,2450,0,1985,0,2200,6865,1596,4
233000,3,2,4697,1.5,0,0,5,6,1710,0,1941,0,1030,4705,1613,3
937000,3,1.75,2691,2,0,0,3,8,1750,700,1915,0,1760,3573,1743,1
667000,3,1,1581,1.5,0,0,5,8,1400,0,1909,0,1860,3861,1585,1
438000,3,1.75,6380,1,0,0,3,7,790,730,1948,0,1520,6235,1745,1
719000,4,2.5,7173,2,0,0,3,8,2570,0,2005,0,2630,6026,1494,2
580500,3,2.5,3980,2,0,0,3,8,2320,0,2003,0,2580,3980,1606,2
280000,2,1.5,1265,3,0,0,3,7,1190,0,2005,0,1390,1756,1585,1
687500,4,1.75,5000,1.5,0,0,4,7,1510,820,1929,0,1460,5000,1745,1
535000,3,1,3000,1.5,0,0,4,8,1090,0,1929,0,1570,5080,1606,1
322500,4,2.75,6659,1,0,0,3,7,1280,780,1981,0,2020,8720,1583,4
696000,3,2.5,3060,1.5,0,0,3,8,1510,790,1930,2002,1590,3264,1756,1
550000,4,1,34848,1,0,0,1,5,930,730,1933,0,2160,11467,1772,2
640000,4,2,6000,2,0,0,4,8,2360,0,1904,0,1730,4700,1556,1
240000,4,1,8075,1,0,0,2,7,890,330,1969,0,1290,7800,1511,3
605000,4,2.5,7553,2,0,0,3,8,2620,0,1996,0,2620,11884,1749,2
625000,4,2.5,5520,2,0,0,3,9,2570,0,2000,0,2470,5669,1724,2
775000,4,2.25,24186,1,0,0,3,8,2600,1620,1984,0,2410,30617,1697,1
861990,5,2.75,5639,2,0,0,3,9,3595,0,2014,0,3625,5639,1732,2
685000,3,1,2280,2,0,0,3,7,1570,0,1922,0,1580,2640,1619,1
309000,3,1,9656,1,0,0,4,6,920,360,1959,0,1340,8808,1710,4
488000,3,2.5,13603,2,0,0,3,8,3160,0,2003,0,3050,9232,1721,5
210490,3,1,8528,1,0,0,3,6,990,0,1966,0,1228,8840,1471,3
785000,4,2.5,13416,2,0,0,4,9,2290,0,1981,0,2680,13685,1723,2
450000,3,1.75,5963,1,0,0,4,7,1250,0,1953,0,970,5100,1437,1
1350000,3,2.5,65005,1,1,2,5,9,2165,588,1953,0,2680,72513,1485,6
228000,3,1,9199,1,0,0,3,7,1190,0,1955,0,1190,9364,1661,1
345000,5,2.5,9134,1,0,0,4,8,1640,1510,1966,0,1990,9133,1507,4
6e+05,3,1.75,4080,1,0,0,4,7,1000,410,1950,0,1410,4080,1555,1
585000,2,1.75,8550,1,0,0,3,7,990,990,1981,0,1480,6738,1519,1
920000,5,2.25,6000,1.5,0,0,3,8,2130,600,1927,0,2730,6000,1493,1
885000,4,2.5,5000,2,0,0,3,9,2830,0,1995,0,1950,5000,1788,1
292500,4,2.5,4495,2,0,0,3,7,2250,0,2008,0,2250,4500,1689,4
301000,3,2.5,4750,2,0,0,3,8,2420,0,2003,0,2690,4750,1458,4
951000,5,3.25,14342,2,0,4,4,8,3250,0,1968,0,2960,11044,1681,2
430000,4,3,9976,2,0,0,3,8,1850,0,1991,0,2270,8542,1501,4
650000,3,2.25,21235,1,0,3,4,8,1590,560,1959,0,2570,18900,1576,1
289000,3,1.75,8400,1,0,0,3,7,1260,0,1954,0,1290,8750,1680,1
505000,3,1.75,8690,2,0,0,5,8,2519,0,1973,0,2500,9500,1626,1
549000,3,1.75,1044,3,0,0,3,8,1540,0,2014,0,1580,3090,1579,1
425000,3,2.25,6000,1,0,0,3,7,1110,550,1979,0,1440,4080,1766,1
317625,3,2.75,3809,1.5,0,0,5,7,1770,1000,1925,0,1440,4000,1596,1
